Frequency,Inserts,HF Headphones,Supra-aural,bone conduction
125,90,100,90,nan
250,105,110,110,50
500,110,115,120,70
750,115,120,120,75
1000,120,120,120,85
1500,120,115,120,90
2000,120,115,120,90
3000,120,115,120,85
4000,115,115,120,85
6000,100,105,115,60
8000,95,105,110,50
9000,nan,100,nan,nan
10000,nan,100,nan,nan
11200,nan,95,nan,nan
12500,nan,90,nan,nan
14000,nan,80,nan,nan
16000,nan,60,nan,nan
18000,nan,30,nan,nan
20000,nan,15,nan,nan
